"","rule","precision","recall"
"70","<{saml.status.channel_A_CS_unknown,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70264724,0.105129136
"71","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.70233699,0.106461911
"72","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.70229152,0.087481557
"73","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70229152,0.087481557
"74","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running},{saml.status.channel_A_CS_unknown}>",0.70229152,0.087481557
"75","<{saml.status.channel_B_CS_unknown,saml.status.energy_SAI_PT_nok,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70229152,0.087481557
"76","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected},{saml.status.channel_B_CS_unknown}>",0.70223285,0.122497999
"77","<{saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_switch_rack_general_failure},{saml.status.channel_B_CS_unknown}>",0.70223285,0.122497999
"78","<{saml.status.channel_A_CS_unknown,saml.status.energy_SAI_ST_nok,saml.status.energy_net1_disconnected,saml.status.energy_net2_disconnected,saml.status.energy_net2_not_present},{saml.status.channel_A_CS_unknown}>",0.70221997,0.101470952
"79","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_not_present},{saml.status.channel_A_CS_unknown}>",0.70218304,0.108074729
"80","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_not_present,saml.status.energy_switch_rack_general_failure},{saml.status.channel_A_CS_unknown}>",0.70218304,0.108074729
"81","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_generator_running,saml.status.energy_net1_disconnected,saml.status.energy_net1_not_present},{saml.status.channel_A_CS_unknown}>",0.70218304,0.108074729
"82","<{saml.status.channel_A_CS_unknown,saml.status.channel_B_CS_unknown,saml.status.energy_SAI_line2_nok,saml.status.energy_generator_running,saml.status.energy_net2_disconnected},{saml.status.channel_A_CS_unknown}>",0.70205944,0.103489598
